champion,build,predCluster,PC0,PC1
Jinx,item_ad,6,-0.9847653148657408,0.56071573003262
Kaisa,item_ad,2,-0.9800082536282276,-0.05147937559817906
Kaisa,item_ap,4,0.42768584839174445,-0.17983682745317106
Kalista,item_ad,6,-0.9522406601012912,0.5385490469046843
Karma,item_ap,1,0.9942374429338866,0.3587453532000413
Karma,item_support,4,0.9362029351650678,-0.21168208463269989
Karthus,item_ap,5,1.1695328033695294,0.8136908087125243
Kassadin,item_ap,5,1.0923936053785477,0.5899506096334565
Katarina,item_ap,1,0.8998866496115618,0.18200901986417792
Katarina,item_bruiser,0,-0.28797458014006283,-0.734655697158547
Kayle,item_ad,3,-0.6477820159372055,-0.37171509639049677
Kayle,item_ap,0,0.15627165371972715,-0.5301249180698322
Kayn,item_ad,6,-1.0269615373096925,0.335867443917149
Kayn,item_bruiser,2,-0.9578479655688764,-0.05392093512597339
Kennen,item_ap,5,1.0875965678689703,0.7563110047064346
Khazix,item_ad,6,-0.9680705248763081,0.5824228181121884
Kindred,item_ad,2,-1.0640501710927672,0.014536559248242807
Kled,item_bruiser,3,-0.6316563430557831,-0.37175441665849346
Kled,item_tank,3,-0.7167950032879603,-0.46683099940649764
KogMaw,item_ad,3,-0.6206838478278164,-0.3848821585344518
KogMaw,item_ap,1,0.9093907004843607,-0.005076594112427374
Leblanc,item_ap,5,1.0534029251043233,0.7670104075935544
LeeSin,item_ad,2,-0.9525074252280799,0.15700018367645555
LeeSin,item_bruiser,2,-0.9063312428104469,-0.20705156118833482
Leona,item_tank,4,0.4944250825592398,-0.7006983426676507
Lillia,item_ap,4,0.9031027074015833,-0.44279521503296604
Lissandra,item_ap,5,1.1010834043372262,0.580129794281924
Lucian,item_ad,6,-0.996495301560423,0.47037972792406424
Lulu,item_ap,1,0.9388001104348388,-0.01185421432940811
Lulu,item_support,4,0.8980067529100763,-0.28380310901006267
Lux,item_ap,5,1.097791609747472,0.6998515386879292
Malphite,item_ap,1,0.8634461106775901,0.2716395816447161
Malphite,item_tank,4,0.4360056948360505,-0.509846567233505
Malzahar,item_ap,5,1.156078984247051,0.973756160027905
Maokai,item_ap,1,0.9567755438237713,-0.1116447839761119
Maokai,item_tank,4,0.834705979912082,-0.5121519323712336
MasterYi,item_ad,2,-1.024354588152703,0.25964915129030774
MissFortune,item_ad,6,-0.9502400284383266,0.4021268627838478
MissFortune,item_ap,0,-0.1022117509371217,-0.6922355033789526
MonkeyKing,item_ad,2,-0.8653396655498027,0.2519187399194325
MonkeyKing,item_bruiser,2,-0.8772539667399617,-0.13087554034964372
Mordekaiser,item_ap,4,0.8161622078496236,-0.38559125961881346
Mordekaiser,item_tank,4,0.8274344657486502,-0.45339370312154315
Morgana,item_ap,1,1.0017042692536757,0.16517421236093346
Nami,item_ap,4,0.8478293060309573,-0.29389194848246336
Nami,item_support,4,0.9181186640885713,-0.3001852588284339
