,champion,build,C0,C1,C2,C3,C4,C5,C6,C7,C8
49,Graves,item_ad,0.08607095926412615,0.07752956636005257,0.0019710906701708277,0.36662286465177396,0.0032851511169513796,0.001314060446780552,0.0,0.04862023653088042,0.41458607095926414
50,Gwen,item_ap,0.40311804008908686,0.10022271714922049,0.0,0.0378619153674833,0.017817371937639197,0.0022271714922048997,0.10690423162583519,0.31403118040089084,0.017817371937639197
51,Hecarim,item_ad,0.22857142857142856,0.02857142857142857,0.0,0.02857142857142857,0.17142857142857143,0.0,0.0,0.45714285714285713,0.08571428571428572
52,Hecarim,item_bruiser,0.05,0.07222222222222222,0.0,0.011111111111111112,0.14444444444444443,0.005555555555555556,0.0,0.6944444444444444,0.022222222222222223
53,Hecarim,item_tank,0.05172413793103448,0.08620689655172414,0.0,0.0,0.1896551724137931,0.008620689655172414,0.0,0.6551724137931034,0.008620689655172414
54,Heimerdinger,item_ap,0.05054945054945055,0.08681318681318681,0.6483516483516484,0.0,0.017582417582417582,0.007692307692307693,0.189010989010989,0.0,0.0
55,Illaoi,item_bruiser,0.14361702127659576,0.09308510638297872,0.0,0.034574468085106384,0.005319148936170213,0.0,0.0,0.7047872340425532,0.018617021276595744
56,Illaoi,item_tank,0.1566265060240964,0.060240963855421686,0.0,0.024096385542168676,0.060240963855421686,0.0,0.0,0.6626506024096386,0.03614457831325301
57,Irelia,item_ad,0.1989389920424403,0.07824933687002653,0.0,0.22015915119363394,0.021220159151193633,0.001326259946949602,0.002652519893899204,0.3779840848806366,0.09946949602122016
58,Irelia,item_bruiser,0.06769230769230769,0.07076923076923076,0.0,0.16,0.018461538461538463,0.0,0.0,0.6338461538461538,0.04923076923076923
59,Ivern,item_ap,0.2191780821917808,0.0410958904109589,0.1232876712328767,0.0,0.136986301369863,0.4794520547945205,0.0,0.0,0.0
60,Ivern,item_support,0.06406685236768803,0.04735376044568245,0.013927576601671309,0.0,0.08356545961002786,0.7910863509749304,0.0,0.0,0.0
61,Janna,item_ap,0.015437392795883362,0.09090909090909091,0.1595197255574614,0.0,0.0274442538593482,0.7066895368782161,0.0,0.0,0.0
62,Janna,item_support,0.005649717514124294,0.07909604519774012,0.005649717514124294,0.0,0.018832391713747645,0.8907721280602636,0.0,0.0,0.0
63,JarvanIV,item_ad,0.33112582781456956,0.046357615894039736,0.0,0.08609271523178808,0.07947019867549669,0.026490066225165563,0.006622516556291391,0.09271523178807947,0.33112582781456956
64,JarvanIV,item_bruiser,0.06010016694490818,0.08180300500834725,0.0,0.018363939899833055,0.2687813021702838,0.018363939899833055,0.0,0.4958263772954925,0.05676126878130217
65,JarvanIV,item_tank,0.04225352112676056,0.09859154929577464,0.0,0.0,0.5352112676056338,0.014084507042253521,0.0,0.2676056338028169,0.04225352112676056
66,Jax,item_ad,0.38529411764705884,0.09117647058823529,0.0029411764705882353,0.07647058823529412,0.07941176470588235,0.0,0.0029411764705882353,0.28823529411764703,0.07352941176470588
67,Jax,item_bruiser,0.2647058823529412,0.0784313725490196,0.0,0.0392156862745098,0.09477124183006536,0.0,0.0,0.4934640522875817,0.029411764705882353
68,Jayce,item_ad,0.09747292418772563,0.08062575210589651,0.0024067388688327317,0.27557160048134777,0.0,0.0036101083032490976,0.0,0.0048134777376654635,0.5354993983152828
69,Jhin,item_ad,0.061375661375661375,0.07301587301587302,0.01216931216931217,0.20582010582010582,0.004232804232804233,0.012698412698412698,0.0005291005291005291,0.006349206349206349,0.6238095238095238
