,champion,build,predCluster,PC0,PC1
94,Leona,item_tank,3,-0.33391675867839693,0.16765518772986962
95,Lillia,item_ap,3,-0.199013794737844,0.20445977876176477
96,Lissandra,item_ap,3,-0.29635385242669326,0.10736010129853181
97,Lucian,item_ad,4,0.8996150673873929,0.5161956741267907
98,Lulu,item_ap,1,-0.05461281988281636,-0.16552868533843113
99,Lulu,item_support,6,-0.3899929364539773,0.16066971759349644
100,Lux,item_ap,0,-0.762437242868125,0.6436949005217685
101,Malphite,item_ap,6,-0.487140995249083,0.3457079908546455
102,Malphite,item_tank,7,-0.10742855507524116,-0.08381852196524639
103,Malzahar,item_ap,6,-0.35046356748263785,0.17286672500978048
104,Maokai,item_ap,3,-0.2891385454685985,0.08360175204587045
105,Maokai,item_tank,7,-0.14375600189545093,-0.16229313837962162
106,MasterYi,item_ad,2,0.5999001820760392,0.2694298156344824
107,MissFortune,item_ad,2,0.6495461865920485,0.3301073018638339
108,MissFortune,item_ap,3,-0.17900939366833205,0.03099083711281113
109,MonkeyKing,item_ad,1,0.05918121412356718,-0.1886538032723888
110,MonkeyKing,item_bruiser,5,0.27000876547265706,-0.167682514125059
111,Mordekaiser,item_ap,3,-0.18951910130598207,0.07504566802243692
112,Mordekaiser,item_tank,1,-0.05105971605659068,-0.1783909875452873
113,Morgana,item_ap,0,-0.7032541139130773,0.5763211756548364
114,Nami,item_ap,7,-0.08647836520560648,-0.1579521832131821
115,Nami,item_support,7,-0.2316863158417915,-0.04555907278034415
116,Nasus,item_ap,1,-0.05209141939258703,-0.16393908794963963
117,Nasus,item_bruiser,1,0.03768733422991675,-0.24239155105410368
118,Nasus,item_tank,5,0.1465844766527809,-0.20650110195504331
119,Nautilus,item_tank,6,-0.42533708506225665,0.290005587599327
120,Neeko,item_ap,6,-0.35409701758835965,0.1821411069347628
121,Nidalee,item_ap,0,-0.615896469161582,0.39527263174068716
122,Nocturne,item_ad,5,0.10505502362180645,-0.1242223452909828
123,Nocturne,item_bruiser,1,0.03342371858383804,-0.2307878466819506
124,Nunu,item_ap,7,-0.1456671522673167,-0.13699374519993518
125,Nunu,item_tank,1,-0.06808460868669713,-0.20332168636079437
126,Olaf,item_bruiser,1,0.06281547131663698,-0.21176187735944338
127,Olaf,item_tank,1,0.018323666261405865,-0.23113643213572727
128,Orianna,item_ap,6,-0.39603120512644535,0.2193978508984264
129,Ornn,item_tank,7,-0.18261568638568654,-0.052339196318927854
130,Pantheon,item_ad,5,0.29813623985919957,0.027260311318932206
131,Pantheon,item_bruiser,5,0.15457989156237428,-0.18884459077167845
132,Poppy,item_tank,1,-0.019497814682291052,-0.12520449736028175
133,Pyke,item_ad,2,0.6233414873915756,0.3295797603666952
134,Qiyana,item_ad,5,0.2996067460594743,0.02268327031716856
135,Quinn,item_ad,2,0.5011328272551553,0.20929594236695725
136,Rakan,item_ap,1,-0.027711586543712113,-0.20088907829296254
137,Rakan,item_support,1,-0.055893252622497516,-0.17031775506172955
138,Rakan,item_tank,7,-0.06579600544909142,-0.15453484317590957
139,Rammus,item_tank,7,-0.12244942383456409,-0.08578269536845663
140,RekSai,item_ad,1,0.03977289182476508,-0.21059708615665515
141,RekSai,item_bruiser,1,0.04194652822684699,-0.21930549710067754
142,Rell,item_tank,7,-0.20443856880487157,-0.00883564714763383
143,Renekton,item_bruiser,5,0.1905699620051092,-0.3072188006025562
144,Renekton,item_tank,1,0.028560419320069468,-0.24375863227715158
145,Rengar,item_ad,5,0.16147896459426098,-0.11994481460907101
146,Rengar,item_bruiser,1,0.03991888253125219,-0.24035248898596218
147,Riven,item_bruiser,5,0.2661804440677994,-0.1543221156307041
148,Rumble,item_ap,3,-0.24901680972591198,0.04389334490443418
149,Ryze,item_ap,6,-0.4209791474011092,0.24387240432414742
150,Samira,item_ad,2,0.5053728864565136,0.1891130884705062
151,Sejuani,item_tank,1,-0.044400783258798905,-0.1653417276738719
152,Senna,item_ad,2,0.6439121766106227,0.2957072638856904
153,Seraphine,item_ap,3,-0.2985410714757133,0.07961966024535658
154,Seraphine,item_support,7,-0.09346719366567148,-0.15335315665063998
155,Sett,item_bruiser,5,0.34801769163813395,-0.038550021209462965
156,Sett,item_tank,1,0.06644245203305449,-0.21353655435391458
157,Shaco,item_ad,1,0.027329711208846103,-0.16385713589048262
158,Shaco,item_ap,3,-0.27036879822932003,0.08239415716820765
159,Shen,item_tank,7,-0.11443766207894257,-0.027702419789028473
160,Shyvana,item_ap,7,-0.12368872382289704,-0.07669186229024157
161,Singed,item_ap,7,-0.14696609028186206,-0.057930621078527894
162,Singed,item_tank,1,-0.05819874459744653,-0.16476754238948202
163,Sion,item_ad,1,0.0708093435738169,-0.1858605100368193
164,Sion,item_tank,1,0.02483022787277405,-0.22372511086837799
165,Sivir,item_ad,4,0.7757707590794257,0.4078178136299197
166,Skarner,item_tank,1,-0.029907315357637625,-0.1867051030639203
167,Sona,item_ap,7,-0.150355467205601,-0.11180962584529565
168,Sona,item_support,3,-0.3222989932200921,0.019387764522975044
169,Soraka,item_ap,1,-0.04346659251219058,-0.2041400981083252
170,Soraka,item_support,7,-0.22884830516505958,-0.06327579023208821
171,Soraka,item_tank,7,-0.18756193445430547,-0.09361940874748281
172,Swain,item_ap,7,-0.21995117427191624,-0.09194125473392367
173,Sylas,item_ap,7,-0.1876189111608088,-0.10218090558894975
174,Syndra,item_ap,6,-0.39021336770784115,0.21633161464542283
175,TahmKench,item_tank,7,-0.14857177015455006,-0.20757790753798763
176,Taliyah,item_ap,7,-0.14612965873444,-0.06702792722090452
177,Talon,item_ad,5,0.18020342748830118,-0.09036664107553515
178,Talon,item_bruiser,1,0.05366078086217651,-0.21808295702274272
179,Taric,item_tank,1,-0.07268138499554953,-0.17925363848552509
180,Teemo,item_ap,0,-0.5610810590987094,0.43011474639764924
181,Thresh,item_ad,1,-0.02295135598244264,-0.15746618048167443
182,Thresh,item_tank,6,-0.43527089772708,0.3313371413755844
183,Tristana,item_ad,4,0.7226156653449416,0.4070030042510931
