champion,build,PC0,PC1,PC2,PC3,PC4,PC5,PC6
Evelynn,item_ap,3.5961108663121704,-2.2305814770253987,1.4293245215793076,1.2125716770515433,0.6023794824727394,0.7730575050111534,-0.5657324819929439
Ezreal,item_ad,-2.907691029665774,-0.296695351870534,-0.7841808957904877,-1.0141293790010522,2.3948114165145866,0.19805219188806475,-0.2354104743814012
Fiddlesticks,item_ap,3.600628603295212,-0.8971720533297658,0.6132415717601274,0.6310446411077969,0.2796914603659937,-0.2958587164272007,-0.6008217502807583
Fiora,item_ad,-3.1860230254593884,-0.28563782597209664,0.05112612714324904,0.9524437822718577,-2.4101802537082038,-0.020306917068295547,0.027504630248892395
Fiora,item_bruiser,-3.3941847923989905,0.6746547754791525,2.06318565620652,-0.7041392813609029,-2.235539300339992,0.20156321288096377,0.18378468723185448
Fizz,item_ap,3.6533817143707346,-3.106673876119465,0.38828986337250226,-1.2490790841913926,-0.31600339362331625,-2.035643078610624,1.5391612428905426
Galio,item_ap,3.5727352747017522,-0.4943801858117057,0.08404382269457049,0.06187702964700419,0.06595775165500797,-0.5449590253420491,-0.6433740047649397
Galio,item_tank,3.010481081570331,2.5027278788679506,0.15739671827734067,1.1286683727812354,0.23668481151837212,-1.576118099042554,-0.08309189134095647
Gangplank,item_ad,-3.7824506269142413,-1.1118312621236615,-1.3050129258432417,1.9937092081579597,-2.7134094209232718,-0.10866962918971901,0.011259665711708427
Garen,item_ad,-3.424172884973977,-1.1306491904773348,-1.5622168624758754,2.447156973271563,-3.2807737908929284,-0.15277985857490956,0.03400378889208465
Garen,item_bruiser,-3.264090892269967,0.2045043089476979,1.0960611745927065,-0.03293522083073288,-2.0641749729717587,0.10432155390913861,0.07123263994361761
Garen,item_tank,-3.188550582867927,0.6071336198855749,1.843476417609569,-0.481867900688938,-2.080114044423912,0.16550818067243742,0.16328485444482907
Gnar,item_ad,-3.972587213063852,-0.5718437717137009,-1.2336344799601604,-0.27674700549357056,2.2426384072137395,0.009892725963064536,0.06670423268934765
Gnar,item_bruiser,-3.6475368032414255,-0.21761944856080603,-0.6131805693851943,-0.6980883723572749,2.7355423059725945,-0.056643734865238535,0.1481974765013582
Gnar,item_tank,-4.092050862139917,-0.2230807130167121,-0.36703021705599825,-0.7858553592117077,2.152985863374988,-0.03181921124439393,0.07130005362576693
Gragas,item_ap,3.1111341452093586,-0.12425891754704572,1.1208397463366826,1.6063764898570623,0.6419991664379333,0.3947534416498331,-0.281878710972559
Gragas,item_tank,2.479946609831761,4.0900958675020505,0.07030065342699482,1.8780275648436464,0.4367744682331337,-2.310121762447441,0.358437731384164
Graves,item_ad,-3.62132133132581,-0.8763461061992596,-1.5794530372244537,0.4314977648597355,1.2692734699464692,-0.08005987673969743,0.04819373887928422
Gwen,item_ap,1.6067772999717103,-1.923053245644114,3.4711590619244315,3.1340464709883293,0.9015569567913331,1.7649066247845868,0.3197032815287046
Hecarim,item_ad,-3.07806945694206,-0.20094167137234745,-0.6771451485198695,-0.8687288382695617,2.943033999535228,0.08105861645397312,0.046452605217115535
Hecarim,item_bruiser,-3.1805132178216398,1.1160955807829598,2.1900658571263945,-1.689769780708674,-0.3357410745247348,0.21879829607577975,0.09109972414721508
